record_id,timestamp,username,ip_address,login_status,failed_success_ratio,login_frequency,send_time,receive_time,delay_ms
59,2026-06-14 16:39:36,sy,100.65.202.109,Failed,59.00,59,16:39:36.899,16:39:36.977,78
60,2026-06-14 16:39:37,sy,100.65.202.109,Failed,60.00,60,16:39:37.405,16:39:37.495,90
61,2026-06-14 16:39:37,sy,100.88.89.12,Failed,61.00,61,16:39:37.419,16:39:37.500,81
62,2026-06-14 16:39:40,sy,100.65.202.109,Failed,62.00,62,16:39:39.978,16:39:40.064,86
63,2026-06-14 16:39:40,sy,100.65.202.109,Failed,63.00,63,16:39:40.005,16:39:40.066,61
64,2026-06-14 16:39:43,sy,100.65.202.109,Failed,64.00,64,16:39:43.048,16:39:43.105,57
65,2026-06-14 16:39:43,sy,100.65.202.109,Failed,65.00,65,16:39:43.041,16:39:43.109,68
66,2026-06-14 16:39:45,sy,100.65.202.109,Failed,66.00,66,16:39:45.549,16:39:45.625,76
67,2026-06-14 16:39:46,sy,100.65.202.109,Failed,67.00,67,16:39:46.078,16:39:46.138,60
68,2026-06-14 16:39:46,sy,100.88.89.12,Failed,68.00,68,16:39:46.081,16:39:46.142,61
69,2026-06-14 16:39:49,sy,100.65.202.109,Failed,69.00,69,16:39:49.117,16:39:49.190,73
70,2026-06-14 16:39:49,sy,100.65.202.109,Failed,70.00,70,16:39:49.111,16:39:49.199,88
71,2026-06-14 16:39:52,sy,100.65.202.109,Failed,71.00,71,16:39:52.159,16:39:52.247,88
72,2026-06-14 16:39:52,sy,100.65.202.109,Failed,72.00,72,16:39:52.726,16:39:52.816,90
73,2026-06-14 16:39:55,sy,100.65.202.109,Failed,73.00,73,16:39:55.815,16:39:55.861,46
74,2026-06-14 16:39:56,sy,100.65.202.109,Failed,74.00,74,16:39:56.309,16:39:56.380,71
75,2026-06-14 16:39:58,sy,100.65.202.109,Failed,75.00,75,16:39:58.814,16:39:58.895,81
76,2026-06-14 16:39:58,sy,100.65.202.109,Failed,76.00,76,16:39:58.824,16:39:58.896,72
77,2026-06-14 16:40:01,sy,100.65.202.109,Failed,77.00,77,16:40:01.874,16:40:01.915,41
78,2026-06-14 16:40:01,sy,100.65.202.109,Failed,78.00,78,16:40:01.854,16:40:01.917,63
79,2026-06-14 16:40:05,sy,100.65.202.109,Failed,79.00,79,16:40:04.938,16:40:05.000,62
80,2026-06-14 16:40:05,sy,100.65.202.109,Failed,80.00,80,16:40:05.417,16:40:05.504,87
81,2026-06-14 16:40:20,sy,100.88.89.12,Success,80.00,81,16:40:20.014,16:40:20.054,40
82,2026-06-14 16:40:26,sy,100.65.202.109,Failed,81.00,82,16:40:26.632,16:40:26.694,62
83,2026-06-14 16:40:46,sy,100.65.202.109,Failed,82.00,83,16:40:46.023,16:40:46.093,70
84,2026-06-14 16:40:46,sy,100.88.89.12,Success,41.00,84,16:40:46.015,16:40:46.099,84
85,2026-06-14 16:41:01,sy,100.65.202.109,Success,27.33,85,16:41:01.764,16:41:01.823,59
86,2026-06-14 16:41:06,sy,100.88.89.12,Success,20.50,86,16:41:06.820,16:41:06.900,80
87,2026-06-14 16:41:28,sy,100.88.89.12,Success,16.40,87,16:41:28.769,16:41:28.852,83
88,2026-06-14 16:41:32,sy,100.65.202.109,Failed,16.60,88,16:41:32.802,16:41:32.873,71
89,2026-06-14 16:41:49,sy,100.65.202.109,Failed,16.80,89,16:41:49.916,16:41:49.972,56
90,2026-06-14 16:41:49,sy,100.88.89.12,Success,14.00,90,16:41:49.926,16:41:49.980,54
91,2026-06-14 16:42:10,sy,100.88.89.12,Success,12.00,91,16:42:10.372,16:42:10.414,42
92,2026-06-14 16:42:12,sy,100.65.202.109,Failed,12.14,92,16:42:12.381,16:42:12.449,68
93,2026-06-14 16:42:24,sy,100.88.89.12,Success,10.62,93,16:42:24.290,16:42:24.379,89
94,2026-06-14 16:42:38,sy,100.88.89.12,Success,9.44,94,16:42:38.671,16:42:38.725,54
95,2026-06-14 16:42:54,sy,100.88.89.12,Success,8.50,95,16:42:54.086,16:42:54.136,50
96,2026-06-14 16:43:03,sy,100.65.202.109,Success,7.73,96,16:43:02.961,16:43:03.040,79
97,2026-06-14 16:43:08,sy,100.88.89.12,Success,7.08,97,16:43:08.600,16:43:08.651,51
98,2026-06-14 16:43:21,sy,100.65.202.109,Success,6.54,98,16:43:21.633,16:43:21.705,72
99,2026-06-14 16:43:21,sy,100.88.89.12,Success,6.07,99,16:43:21.642,16:43:21.712,70
100,2026-06-14 16:43:41,sy,100.88.89.12,Success,5.67,100,16:43:41.531,16:43:41.576,45
101,2026-06-14 16:43:43,sy,100.65.202.109,Success,5.31,101,16:43:43.517,16:43:43.580,63
